Country Rank,Country/Territory,Country Code,Region,CPI 2015 Score,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
1,Denmark,DNK,#REF!,91,7,2.16,83,98,87,95,,89,,,96,97,88,98,88,83,,
1,New Zealand,NZL,#REF!,91,7,2.32,83,98,87,95,,92,,,93,97,83,98,88,83,,
3,Finland,FIN,#REF!,90,7,1.77,83,98,87,93,,93,,,91,89,88,98,88,83,,
4,Sweden,SWE,#REF!,89,7,1.71,83,98,86,92,,89,,,87,89,88,98,88,83,,
5,Norway,NOR,#REF!,88,7,2.24,81,98,84,92,,92,,,84,81,90,98,88,83,,
6,Switzerland,CHE,#REF!,86,6,2.55,73,89,82,90,,87,,,88,89,,89,88,73,,
7,Luxembourg,LUX,#REF!,85,5,1.60,81,89,82,88,,89,,,85,81,,89,,83,,
7,Singapore,SGP,#REF!,85,8,2.02,75,92,82,88,,92,75,,87,,90,79,88,83,84,
9,Netherlands,NLD,#REF!,84,7,1.98,73,89,81,87,,84,,,85,73,85,89,88,83,,
10,Canada,CAN,#REF!,83,7,1.63,79,89,80,86,,79,,,79,81,79,89,88,83,,
11,Germany,DEU,#REF!,81,7,2.50,72,89,77,85,,72,,,83,81,80,89,88,73,,
11,United Kingdom,GBR,#REF!,81,7,2.40,73,89,77,85,,82,,,81,73,80,89,88,73,,
13,Australia,AUS,#REF!,79,8,1.50,71,83,77,81,,81,,,82,81,81,79,71,83,74,
13,Iceland,ISL,#REF!,79,5,4.53,65,89,72,86,,87,,,83,65,,89,,73,,
15,Belgium,BEL,#REF!,77,7,1.34,71,81,75,79,,79,,,77,81,76,79,71,73,,
16,Austria,AUT,#REF!,76,7,1.76,70,81,73,79,,77,,,70,81,81,79,71,73,,
16,United States,USA,#REF!,76,8,3.47,59,89,70,82,,69,,,74,89,74,79,88,73,59,
18,Hong Kong,HKG,#REF!,75,7,2.48,69,87,71,79,,87,,,80,,78,69,71,73,70,
18,Ireland,IRL,#REF!,75,6,4.92,54,89,67,83,,89,,,83,73,,79,54,73,,
18,Japan,JPN,#REF!,75,8,2.96,57,84,70,80,,84,,,76,57,76,79,71,73,82,
21,Uruguay,URY,#REF!,74,6,1.68,70,79,71,77,,71,79,,,,70,79,71,73,,
22,Qatar,QAT,#REF!,71,6,6.63,40,83,60,82,,83,40,,79,,,69,71,83,,
